Date,Author,Text
10/14/2021 4:01,ArzanDamian,Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020-2021.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/HGThbbIzce
10/14/2021 4:01,NPingitz,RT @Dennysiregar7: Pinjol ilegal mulai dihajar satu persatu. Bravo @DivHumas_Polri â�•  https://t.co/ELHFf8iGWJ
10/14/2021 4:01,GunartiTjahja,RT @Urrangawak: Puluhan penagih Pinjol digerebek saat beraksi di meja kerja di daerah Jakarta Barat.. https://t.co/tdHmaUetCh
10/14/2021 4:01,WajahPribumiii,RT @BubuNyaii: Polri &amp; OJK diminta berantas Pinjol Ilegal! DPR RI meminta Polri &amp; OJK menindak tegas pinjol ilegal yg meresahkan warga. Marâ€¦
10/14/2021 4:01,SShintuy,Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pinjol) ilegal.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/0HDJey7RhY
10/14/2021 4:01,ZRsaja,RT @pinjollaknat: Penggrebekan kantor pinjol pada hari Rabu 13/10/2021 di Jakarta Barat. â›” https://t.co/ub77h8xOFz
10/14/2021 4:01,Sulisty28652334,RT @Dennysiregar7: Pinjol ilegal mulai dihajar satu persatu. Bravo @DivHumas_Polri â�•  https://t.co/ELHFf8iGWJ
10/14/2021 4:01,luckiesthanz,RT @HumasPolresTem1: Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman onlineâ€¦
10/14/2021 4:01,HTalamau,@Humas_Respasbar Kapolri mengintruksikan jajaran Kepolisian tindak tegas pinjol
10/14/2021 4:01,AmaliaWidiastu1,Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020-2021.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/kSJQfyRhYc
10/14/2021 4:01,restanjungpriok,Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020-2021.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/6Luv0QKBpq
10/14/2021 4:01,Hamas191,RT @pinjollaknat: Penggrebekan kantor pinjol pada hari Rabu 13/10/2021 di Jakarta Barat. â›” https://t.co/ub77h8xOFz
